ID,Título,CIE 9,Información,Normativa,SNOMED,Ancestro
1.b.1,Coordinada en Consultorio,,,,,1.b
1.b.1.1,Consultas en Consulta Externa (Policlínica),,"Es aquella consulta médica que se desarrolla en policlínicas, centros de salud, policlínicas Integrales y policlínicas de los sanatorios y hospitales.

Se entiende por Consulta Ambulatoria Coordinada la atención médica y de otros profesionales, no urgente, que se brinda mediante horas fijas de consulta programada, o a requerimiento en el caso de médico especialista referente o consultante. Este tipo de atención podrá ser brindada en consultorios institucionales o en consultorios propios del profesional o grupo de profesionales.

Los plazos máximos de espera en esta modalidad de atención son los siguientes:

- 24 horas para las consultas de Medicina General, Pediatría y Ginecotocología.
- 48 horas para las consultas de Cirugía General.
- Un mes para el resto de las especialidades médicas y quirúrgicas.",,,1.b.1
1.b.2,"Coordinada en Domicilio, salvo en zonas rurales",,Consultas en domicilio no urgentes (de radio): es aquella consulta coordinada no urgente que se realiza a través de médicos generales de adultos o por pediatras en el domicilio de los pacientes.,,,1.b
1.b.3,Urgencia y Emergencia Institucional o Centralizada,,Consulta en urgencia centralizada: es aquella que se realiza en el servicio de Urgencia o Emergencia de la Institución.,,,1.b
1.b.4,"Urgencia a domicilio, salvo en zonas rurales.",,Consulta de urgencia en domicilio: es aquella que realizan los médicos de guardia (interna o a retén) para la atención de llamados domiciliarios de urgencia con móvil propio o institucional.,,,1.b
1.b.5,Asistencia en situaciones de urgencia y emergencia en todo el territorio nacional,,"Se establece y reconoce el derecho a la asistencia en situaciones de urgencia y emergencia en todo el territorio nacional, a todos los habitantes residentes, la que deberá ser brindada por todos los prestadores integrales públicos o privados, integrados o no al Seguro Nacional de Salud (Ley 19.535. Arts. 145-149).",Ley 19.535 (art.145-149),,1.b
1.b.6,Cirugía ambulatoria,,Procedimientos quirúrgicos menores ambulatorios: se entiende por tales todos aquellos procedimientos cuya realización no requiere internación ni uso de block quirúrgico.,,,1.b
1.c,Cuidados paliativos,,"Podrán ser brindados en internación sanatorial, en internación domiciliaria o en atención ambulatoria en domicilio.",,,1
1.d,Prestaciones vinculadas a la atención de pacientes con consumo problemático de drogas,,"Comprende:
- Apoyo y Orientación Telefónica o presencial, accesible las 24 horas del día.
- Servicio de atención ambulatoria específico, integrado por un equipo multidisciplinario, que funcione no menos de tres veces por semana, para la atención individual y/o grupal y/o familiar.
- Servicio de internación para la atención de la intoxicación severa con drogas independiente de la internación psiquiátrica.",,,1
1.e,Prestaciones y servicios incluidos a traves de Leyes y Decretos específicos,,,,,1
1.e.1,Control del Tabaquismo,,"Los servicios de salud públicos y privados incorporarán el diagnóstico y el tratamiento de la dependencia del tabaco en sus programas, planes y estrategias nacionales de atención primaria de la salud, promoviendo los tratamientos de rehabilitación y dependencia.",Ley 18.256 (art. 10),,1.e
1.e.2,Reproducción humana asistida,,"La Ley Nº 19.167 y el decreto 84/015 establecen la inclusión de las técnicas de reproducción humana asistida dentro de las prestaciones del Sistema Nacional Integrado de Salud con el alcance que establece la norma. Comprende los procedimientos de reproducción asistida de alta y de baja complejidd.

De esta forma se definen que las técnicas o procedimientos de baja complejidad como aquellos procedimientos en función de los cuales la unión entre el óvulo y espermatozoide se realiza dentro del aparato genital femenino. 

- Dichas técnicas o procedimientos quedan comprendidos dentro de los programas integrales de asistencia que deben brindar las entidades públicas y privadas que integran el Sistema Nacional Integrado de Salud y serán financiados por este, cuando la mujer no sea mayor de 40 años.

Las técnicas o procedimientos de alta complejidad son aquellas en virtud de las cuales la unión entre óvulo y espermatozoide tiene lugar fuera del aparato genital femenino, transfiriéndose a este los embriones resultantes, sean estos criopreservados o no.

- Dichas técnicas o procedimientos serán parcial o totalmente subsidiados hasta un máximo de tres intentos, a través del Fondo Nacional de Recursos con el alcance y condiciones que establecerá la reglamentación a dictarse por el Poder Ejecutivo.

Las prestaciones a brindarse incluyen los estudios necesarios para el diagnóstico de la infertilidad así como el tratamiento, material de uso médico descartable y otros estudios que se requieran, el asesoramiento y la realización de los procedimientos terapéuticos de reproducción humana asistida de alta y baja complejidad, las posibles complicaciones que se presenten y la medicación correspondiente en todos los casos.

Según el decreto 84/015 los estudios necesarios para el diagnóstico de la infertilidad son los establecidos en el Capítulo 3.n. (Procedimientos de diagnóstico / Procedimientos de Salud Sexual y Reproductiva. Estudios diagnósticos de las disfunciones sexuales y de esterilidad/ infertilidad). 

Los prestadores integrales de salud deberán asegurar la continuidad asistencial en todos los casos, tanto cuando el procedimiento resulte exitoso, como cuando en su transcurso o a posteriori surjan complicaciones.","Ley 19.167, Decreto 84/015",,1.e
1.e.3,Salud mental,,"Comprende las prestaciones que se detallan en el Anexo que forma parte del “Plan de Implementación de Prestaciones en Salud Mental en el Sistema Nacional Integrado de Salud”, aprobado por el Ministerio de Salud Pública, de acuerdo al Decreto 305/011.
Se distinguen tres MODOS de abordaje. Modo 1, Modo 2 y Modo 3.

Los prestadores integrales deberán asegurar en adultos: 

- En el MODO 1 la atención en grupo con carácter gratuito y hasta 16 sesiones anuales para cada usuario.
- En el MODO 2 asegurarán la atención individual, de pareja, familia o grupal, hasta 48 sesiones anuales para cada usuario y con un copago preestablecido.
- En el MODO 3 asegurarán la atención individual y/o grupal, hasta 48 sesiones anuales para cada usuario, con un copago menor al establecido en el modo 2. La prestación podrá renovarse hasta 144 sesiones.

Los prestadores integrales deberán asegurar en niños y adolescentes: 

- En el MODO 1 los prestadores integrales asegurarán la atención en grupo con carácter gratuito y hasta 12 sesiones anuales para cada usuario. 
- En el MODO 2 asegurarán la atención individual, grupal o de familia, hasta 24 sesiones anuales para cada usuario y con un copago preestablecido. 
- En el MODO 3 asegurarán la atención individual y/o grupal, hasta 48 sesiones anuales para cada usuario, con un copago menor al establecido en el nivel 2. En situaciones de discapacidad física, mental o trastorno del espectro autista, la prestación podrá extenderse a 144 sesiones.

Los detalles sobre las poblaciones objetivos que comprende cada modalidad se detallan en la sección dedicada a la normativa.",Decreto 305/011,,1.e
1.e.4,Servicios de Salud Sexual y Reproductiva,,"De acuerdo a la Ley Nº 18.426 y su decreto reglamentario Decreto Nº 293/010, los prestadores del Sistema nacional integrado de salud deberán contar con servicios de salud sexual y reproductiva en general y de anticoncepción reversibles e irreversibles que se organizaràn según lo establece el decreto.

- Colocación de Dispositivo Intrauterino (Decreto N° 292/012)
- Ligadura Tubaria por via laparoscópica
- Vasectomía","Ley 18.426, Decreto 293/010",,1.e
1.e.5,Interrupción voluntaria del embarazo,,Todas las instituciones del Sistema Nacional Integrado de Salud tendrán la obligación de cumplir con los servicios y procedimientos establecidos en la Ley 18.987 sobre Interrupción voluntaria del embarazo  y su Decreto reglamentario Nº 375/012.,"Ley 18.987, Decreto 375/012",,1.e
1.e.6,"Detección obligatoria de hipotiroidismo congénito, fenilcetonuria, hiperplasia suprarrenal congénita, fibrosis quística, acil.coa dehidrogenasa de cadena media",,"De acuerdo al Decreto N° 325/013 las Instituciones de Asistencia en Salud, públicas o privadas de todo el país donde se producen nacimientos, deberán: I) realizar la extracción y envío de las Muestras al Laboratorio de Pesquisa Neonatal del Banco de Previsión Social para evitar demoras en el inicio de tratamiento de los recién nacidos que así lo requieran; y II) notificar los casos confirmados al Registro Nacional de Defectos Congénitos y Enfermedades Raras (RNDCER).",Decreto 325/013,,1.e
1.e.7,Derecho a la asistencia en situaciones de urgencia y emergencia en todo el territorio nacional,,"De acuerdo a la Ley N° 19535 Rendición de cuentas y balance de ejecucion presupuestal ejercicio 2016 se establece y reconoce el derecho a la asistencia en situaciones de urgencia y emergencia en todo el territorio nacional, a todos los habitantes residentes, la que deberá ser brindada por todos los prestadores integrales públicos o privados, integrados o no al Seguro Nacional de Salud.",Ley 19.535,,1.e
2,"Especialidades médicas, otros profesionales y técnicos para el control y la recuperación",,,,,
2.a,Especialidades médicas,,,,,2
2.a.1,Asistencia Ambulatoria Convencional y Asistencia Hospitalaria en las siguientes especialidades básicas,,,,,2.a
2.a.1.1,Medicina General y/o Medicina Familiar.,,,,,2.a.1
2.a.1.2,Cirugía General.,,,,,2.a.1
2.a.1.3,Ginecotocología.,,,,,2.a.1
2.a.1.4,Pediatría.,,,,,2.a.1
2.a.2,Asistencia Ambulatoria Convencional y Asistencia Hospitalaria en las siguientes especialidades y/o prestaciones médicas complementarias,,"Se incluirán las nuevas especialidades registradas, según listado a proporcionar por el MSP.",,,2.a
2.a.2.1,Alergología.,,,,,2.a.2
2.a.2.2,Cardiología,,,,,2.a.2
2.a.2.3,Dermatología,,,,,2.a.2
2.a.2.4,Diabetología,,,,,2.a.2
2.a.2.5,Endocrinología,,,,,2.a.2
2.a.2.6,Fisiatría,,,,,2.a.2
2.a.2.7,Gastroenterología,,,,,2.a.2
2.a.2.8,Geriatría – Gerontología,,,,,2.a.2
2.a.2.9,Hematología,,,,,2.a.2
2.a.2.10,Infectología,,,,,2.a.2.10
2.a.2.11,Medicina Intensiva de Adultos (solamente hospitalaria),,,,,2.a.2.11
2.a.2.12,Medicina Interna,,,,,2.a.2.12
2.a.2.13,Medicina Transfusional,,,,,2.a.2.13
2.a.2.14,Nefrología,,,,,2.a.2.14
2.a.2.15,Neumología,,,,,2.a.2.15
2.a.2.16,Neurología,,,,,2.a.2.16
2.a.2.17,Oncología,,,,,2.a.2.17
2.a.2.18,Psiquiatría,,,,,2.a.2.18
2.a.2.19,Reumatología,,,,,2.a.2.19
2.a.2.20,Terapia del Dolor,,,,,2.a.2.20
2.a.3,Asistencia Ambulatoria Convencional y Asistencia Hospitalaria en las siguientes especialidades quirúrgicas complementarias,,,,,2.a
2.a.3.1,Anatomía Patológica,,,,,2.a.3
2.a.3.2,Anestesiología.,,,,,2.a.3
2.a.3.3,Cirugía Bucomaxilofacial.,,,,,2.a.3
2.a.3.4,Cirugía Plástica Reparadora.,,,,,2.a.3
2.a.3.5,Cirugía Toráxica.,,,,,2.a.3
2.a.3.6,Cirugía Vascular.,,,,,2.a.3
2.a.3.7,Neurocirugía.,,,,,2.a.3
2.a.3.8,Oftalmología.,,,,,2.a.3
2.a.3.9,Otorrinolaringología.,,,,,2.a.3
2.a.3.10,Traumatología.,,,,,2.a.3.10
2.a.3.11,Urología.,,,,,2.a.3.11
2.a.4,Asistencia Ambulatoria Convencional y Asistencia Hospitalaria en las siguientes especialidades y/o prestaciones pediátricas complementarias,,,,,2.a
2.a.4.1,Cardiología,,,,,2.a.4
2.a.4.2,Cirugía,,,,,2.a.4
2.a.4.3,Endocrinología,,,,,2.a.4
2.a.4.4,Gastroenterología,,,,,2.a.4
2.a.4.5,Hemato-Oncología,,,,,2.a.4
2.a.4.6,Medicina Intensiva Neonatal y Pediátrica (solamente hospitalaria),,,,,2.a.4
2.a.4.7,Nefrología,,,,,2.a.4
2.a.4.8,Neonatología (solamente hospitalaria),,,,,2.a.4
2.a.4.9,Neumología,,,,,2.a.4
2.a.4.10,Neurología,,,,,2.a.4.10
2.a.4.11,Psiquiatría,,,,,2.a.4.11
2.a.4.12,,,,,,2.a.4.12
2.a.5,Asistencia Domiciliaria Convencional en las especialidades de:,,,,,2.a
2.a.5.1,Medicina General.,,,,,2.a.5
2.a.5.2,Pediatría.,,,,,2.a.5
2.a.6,Asistencia de Emergencia y Urgencia Institucional en las cuatro especialidades básicas:,,,,,2.a
2.a.6.1,Medicina General.,,"Se debe asegurar el acceso inmediato a estas especialidades, ya sea mediante guardia interna o concurrencia inmediata a requerimiento, de acuerdo a las características de la Institución y a la reglamentación vigente.",,,2.a.6
2.a.6.2,Pediatría.,,"Se debe asegurar el acceso inmediato a estas especialidades, ya sea mediante guardia interna o concurrencia inmediata a requerimiento, de acuerdo a las características de la Institución y a la reglamentación vigente.",,,2.a.6
2.a.6.3,Cirugía,,"Se debe asegurar el acceso inmediato a estas especialidades, ya sea mediante guardia interna o concurrencia inmediata a requerimiento, de acuerdo a las características de la Institución y a la reglamentación vigente.",,,2.a.6
2.a.6.4,Ginecotocología,,"Se debe asegurar el acceso inmediato a estas especialidades, ya sea mediante guardia interna o concurrencia inmediata a requerimiento, de acuerdo a las características de la Institución y a la reglamentación vigente.",,,2.a.6
2.a.6.5,Anestesiología,,Según corresponda.,,,2.a.6
2.a.6.6,Cardiología,,Según corresponda.,,,2.a.6
2.a.6.7,Cirugía de niños,,Según corresponda.,,,2.a.6
2.a.6.8,Cirugía de tórax,,Según corresponda.,,,2.a.6
2.a.6.9,Cirugía plástica,,Según corresponda.,,,2.a.6
2.a.6.10,Cirugía vascular,,Según corresponda.,,,2.a.6.10
2.a.6.11,Hematología,,Según corresponda.,,,2.a.6.11
2.a.6.12,Medicina interna,,Según corresponda.,,,2.a.6.12
2.a.6.13,Medicina transfusional,,Según corresponda.,,,2.a.6.13
2.a.6.14,Nefrología,,Según corresponda.,,,2.a.6.14
2.a.6.15,Neurocirugía,,Según corresponda.,,,2.a.6.15
2.a.6.16,Neurología,,Según corresponda.,,,2.a.6.16
2.a.6.17,Oftalmología,,Según corresponda.,,,2.a.6.17
2.a.6.18,Otorrinolaringología,,Según corresponda.,,,2.a.6.18
2.a.6.19,Psiquiatría,,Según corresponda.,,,2.a.6.19
2.a.6.20,Traumatología,,Según corresponda.,,,2.a.6.20
2.a.6.21,Urología,,Según corresponda.,,,2.a.6.21
2.a.6.22,Odontología,,Según corresponda.,,,2.a.6.22
2.a.6.23,Electrodiagnóstico,,Según corresponda.,,,2.a.6.23
2.a.6.24,Imagenología,,Según corresponda.,,,2.a.6.24
2.a.6.25,Endoscopía,,Según corresponda.,,,2.a.6.25
2.a.6.26,Laboratorio,,Según corresponda.,,,2.a.6.26
2.a.6.27,Técnico en yeso,,Según corresponda.,,,2.a.6.27
2.a.7,Asistencia de Urgencia Domiciliaria en las especialidades de:,,,,,2.a
2.a.7.1,Medicina General,,,,,2.a.7
2.a.7.2,Pediatría,,,,,2.a.7
2.a.8,Asistencia de Emergencia Domiciliaria para toda la población,,Aplicable a partir de que se reglamenten los elementos del art.46 de la Ley 18.211,Ley 18.211,,2.a
2.b,Asistencia de otros profesionales y/o técnicos,,,,,2
2.b.1,Administración de medicamentos por diferentes vías,,,,,2.b
2.b.2,"Colocación de circuitos y vías, sonda vesical y nasogástrica",,,,,2.b
2.b.3,Curaciones y vendajes e inmovilizaciones,,,,,2.b
2.b.4,Oxigenoterapia,,,,,2.b
2.b.5,Inhaloterapia,,,,,2.b
2.b.6,Aspiración de secreciones,,,,,2.b
2.b.7,Podología para diabéticos,,,,,2.b
2.b.8,Nutricionista,,,,,2.b
2.b.9,Fisioterapeuta,,,,,2.b
2.b.10,Fonoaudiólogo,,,,,2.b.10
2.b.11,Psicomotricista,,,,,2.b.11
2.b.12,Psicólogo (consulta con fines diagnósticos),,,,,2.b.12
2.b.13,Hemoterapia,,,,,2.b.13
2.b.14,Imagenología,,,,,2.b.14
2.b.15,Laboratorio,,,,,2.b.15
2.b.16,Químico Farmacéutico,,,,,2.b.16
2.b.17,Registros Médicos,,,,,2.b.17
3,Procedimientos diagnósticos,,,,,
3.a,Procedimientos quirúrgicos diagnósticos,,,,,3
3.a.1,Procedimientos en el Sistema Nervioso,,,,,3.a
3.a.1.1,"Procedimientos diagnósticos sobre cráneo, cerebro y meninges cerebrales",01.1,,,,3.a.1
3.a.1.1.1,"Biopsia de meninges cerebrales, abierta",01.12,,,,3.a.1.1
3.a.1.1.2,Biopsia percutánea [aguja] de cerebro,01.13,,,,3.a.1.1
3.a.1.1.3,"Biopsia de cerebro, abierta",01.14,,,,3.a.1.1
3.a.1.1.4,Biopsia de cráneo,01.15,,,,3.a.1.1
3.a.1.1.5,Otros procedimientos diagnósticos sobre el cráneo,01.19,,,,3.a.1.1
3.a.1.1.5.1,Colocación de sensor de Presión Intracraneana (PIC),8,,,,3.a.1.1.5
3.a.1.2,Procedimientos diagnósticos sobre la médula espinal y estructuras del conducto espinal,03.3,,,,3.a.1
3.a.1.2.1,Punción espinal,03.31,,,,3.a.1.2
3.a.1.3,Procedimientos diagnósticos sobre el sistema nervioso periférico,04.1,,,,3.a.1
3.a.1.4,Procedimientos diagnósticos sobre nervios o ganglios simpáticos,05.1,,,,3.a.1
3.a.2,Procedimientos en el Sistema Endócrimo,,,,,3.a
3.a.2.1,Procedimientos diagnósticos sobre glándulas paratiroides y tiroides,06.1,,,,3.a.2
3.a.2.1.1,Biopsia percutánea [aguja] de glándula tiroides,06.11,,,,3.a.2.1
3.a.2.1.1.1,Biopsia por aspiración de tiroides,,,,,3.a.2.1.1
3.a.2.1.2,Biopsia de glándula paratiroides,06.13,,,,3.a.2.1
3.a.3,Procedimientos oftalmológicos,,,,,3.a
3.a.3.1,Procedimientos diagnósticos sobre párpado,08.1,,,,3.a.3
3.a.3.1.1,Biopsia de párpado,08.11,,,,3.a.3.1
3.a.3.2,Procedimientos diagnósticos sobre aparato lagrimal,09.1,,,,3.a.3
3.a.3.2.1,Biopsia de glándula lagrimal,09.11,,,,3.a.3.2
3.a.3.2.2,Biopsia de saco lagrimal,09.12,,,,3.a.3.2
3.a.3.3,Procedimientos diagnósticos sobre conjuntiva,10.2,,,,3.a.3
3.a.3.3.1,Biopsia de conjuntiva,10.21,,,,3.a.3.3
3.a.3.4,Procedimientos diagnósticos sobre córnea,11.2,,,,3.a.3
3.a.3.4.1,Raspado de córnea para frotis o cultivo,11.21,,,,3.a.3.4
3.a.3.4.2,Biopsia de córnea,11.22,,,,3.a.3.4
3.a.3.5,"Procedimientos diagnósticos sobre iris, cuerpo ciliar, esclerótica, y cámara anterior del ojo",12.2,,,,3.a.3
3.a.3.5.1,Aspiración diagnóstica de la cámara anterior del ojo,12.21,,,,3.a.3.5
3.a.3.5.2,Biopsia de iris,12.22,,,,3.a.3.5
3.a.3.6,"Procedimientos diagnósticos sobre retina, coroides, cuerpo vítreo, y la cámara posterior del ojo",14.1,,,,3.a.3
3.a.3.6.1,Aspiración diagnóstica de cuerpo vítreo,14.11,,,,3.a.3.6
3.a.3.7,Procedimientos diagnósticos sobre músculos o tendones extraoculares,15.0,,,,3.a.3
3.a.3.7.1,Biopsia de músculo o tendón extraocular,15.01,,,,3.a.3.7
3.a.3.8,Procedimientos diagnósticos sobre órbita y globo ocular,16.2,,,,3.a.3
3.a.3.8.1,Oftalmoscopia,16.21,,,,3.a.3.8
3.a.3.8.2,Aspiración diagnóstica de órbita,16.22,,,,3.a.3.8
3.a.3.8.3,Biopsia de globo ocular y órbita,16.23,,,,3.a.3.8
3.a.3.8.4,Otros procedimientos diagnósticos sobre órbita y globo ocular,16.29,,,,3.a.3.8
3.a.3.8.4.1,Exploración quirúrgica con o sin biopsia,124,,,,3.a.3.8.4
3.a.3.8.4.2,Fondo de Ojo,132,,,,3.a.3.8.4
3.a.3.8.4.3,Toma de Tensión ocular,133,,,,3.a.3.8.4
3.a.3.8.4.4,Medida del diámetro corneano,134,,,,3.a.3.8.4
3.a.3.8.4.5,Ecografía ocular,135,,,,3.a.3.8.4
3.a.3.8.4.6,Gonioscopía,136,,,,3.a.3.8.4
3.a.3.8.4.7,Fotografías,137,,,,3.a.3.8.4
3.a.4,Procedimientos en el oído,,,,,3.a
3.a.4.1,Procedimientos diagnósticos sobre el oído externo,18.1,,,,3.a.4
3.a.4.1.1,Otoscopia,18.11,,,,3.a.4.1
3.a.4.1.2,Biopsia de oído externo,18.12,,,,3.a.4.1
3.a.4.1.3,Otros procedimientos diagnósticos sobre oído externo,18.19,,,,3.a.4.1
3.a.4.1.3.1,Aspiración bajo microscopio de OE (diagnóstica),2,,,,3.a.4.1.3
3.a.4.2,Procedimientos diagnósticos sobre el oído medio y el oído interno,20.3,,,,3.a.4
3.a.4.2.1,Electrococleografía,20.31,,,,3.a.4.2
3.a.4.2.2,Biopsia de oído medio e interno,20.32,,,,3.a.4.2
3.a.5,"Procedimientos en la nariz, boca y faringe",,,,,3.a
3.a.5.1,Procedimientos diagnósticos sobre la región nasal,21.2,,,,3.a.5
3.a.5.1.1,Rinoscopía,21.21,,,,3.a.5.1
3.a.5.1.2,Biopsia de nariz,21.22,,,,3.a.5.1
3.a.5.1.3,Otros procedimientos diagnósticos sobre la región nasal,21.29,,,,3.a.5.1
3.a.5.1.3.1,Microscopía diagnóstica,11,,,,3.a.5.1.3
3.a.5.2,Procedimientos diagnósticos sobre seno nasal,22.1,,,,3.a.5
3.a.5.2.1,Biopsia de seno nasal cerrada [endoscópica] [punción con aguja],22.11,,,,3.a.5.2
3.a.5.2.2,Biopsia de seno nasal abierta,22.12,,,,3.a.5.2
3.a.5.2.3,Otros procedimientos diagnósticos sobre senos nasales (maxilares),22.19,,,,3.a.5.2
3.a.5.2.3.1,Sinusoscopía,51,,,,3.a.5.2.3
3.a.5.3,"Procedimientos diagnósticos sobre dientes, encías y alvéolos",24.1,,,,3.a.5
3.a.5.3.1,Biopsia de encía,24.11,,,,3.a.5.3
3.a.5.3.2,Biopsia de alvéolo,24.12,,,,3.a.5.3
3.a.5.4,Procedimientos diagnósticos sobre la lengua,25.0,,,,3.a.5
3.a.5.4.1,Biopsia cerrada de lengua (punción-aspiración con aguja fina) [PAAF],25.01,,,,3.a.5.4
3.a.5.4.2,Biopsia abierta de la lengua,25.02,,,,3.a.5.4
3.a.5.4.2.1,Biopsia en cuña,,,,,3.a.5.4.2
3.a.5.5,Procedimientos diagnósticos sobre glándulas y conductos salivales,26.1,,,,3.a.5
3.a.5.5.1,Biopsia cerrada (punción-aspiración con aguja fina) [PAAF] de glándula o conducto salival,26.11,,,,3.a.5.5
3.a.5.5.2,Biopsia abierta de glándula o conducto salival,26.12,,,,3.a.5.5
3.a.5.6,Procedimientos diagnósticos sobre la cavidad oral,27.2,,,,3.a.5
3.a.5.6.1,Biopsia del paladar óseo,27.21,,,,3.a.5.6
3.a.5.6.2,Biopsia de úvula y paladar blando,27.22,,,,3.a.5.6
3.a.5.6.3,Biopsia de labio,27.23,,,,3.a.5.6
3.a.5.7,Procedimientos diagnósticos sobre amígdalas y adenoides,28.1,,,,3.a.5
3.a.5.7.1,Biopsia de amígdalas y adenoides,28.11,,,,3.a.5.7
3.a.5.7.2,Otros procedimientos diagnósticos sobre amígdalas y adenoides,28.19,,,,3.a.5.7
3.a.5.7.2.1,Curetaje biópsico de Cavum,142,,,,3.a.5.7.2
3.a.5.8,Procedimientos diagnósticos sobre faringe,29.1,,,,3.a.5
3.a.5.8.1,Faringoscopia,29.11,,,,3.a.5.8
3.a.5.8.2,Biopsia faríngea,29.12,,,,3.a.5.8
3.a.5.8.2.1,Biopsia de masa supraglótica,,,,,3.a.5.8.2
3.a.5.8.2.2,Biopsia por Faringoscopía directa en hipofaringe,123,,,,3.a.5.8.2
3.a.5.8.2.3,Biopsia por Faringoscopía indirecta en hipofaringe,124,,,,3.a.5.8.2
3.a.6,Procedimientos en el sistema respiratorio,,,,,3.a
3.a.6.1,Procedimientos diagnósticos sobre laringe y tráquea,31.4,,,,3.a.6
3.a.6.1.1,Laringoscopia y otra traqueoscopia,31.42,,,,3.a.6.1
3.a.6.1.1.1,Laringoscopía indirecta,,,,,3.a.6.1.1
3.a.6.1.2,Biopsia cerrada de laringe [endoscópica],31.43,,,,3.a.6.1
3.a.6.1.3,Biopsia cerrada de tráquea [endoscópica],31.44,,,,3.a.6.1
3.a.6.2,Procedimientos diagnósticos sobre pulmón y bronquio,33.2,,,,3.a.6
3.a.6.2.1,Broncoscopía a través de estoma artificial,33.21,,,,3.a.6.2
3.a.6.2.2,Broncoscopía fibroóptica,33.22,,,,3.a.6.2
3.a.6.2.3,Biopsia cerrada bronquial [endoscópica],33.24,,,,3.a.6.2
3.a.6.2.3.1,Broncoscopía (fibroóptica) (rígida) con:,,,,,3.a.6.2.3
3.a.6.2.3.1.1,biopsia por escición,,,,,3.a.6.2.3.1
3.a.6.2.3.1.2,biopsia por cepillado de pulmón,,,,,3.a.6.2.3.1
3.a.6.2.3.1.3,cepillado o lavado para recogida de muestra (lavado bronco-alveolar),,,,,3.a.6.2.3.1
3.a.6.2.4,Biopsia percutánea [aguja] de pulmón,33.26,,,,3.a.6.2
3.a.6.2.5,Biopsia endoscópica de pulmón,33.27,,,,3.a.6.2
3.a.6.2.5.1,Biopsia pulmonar transbronquial,,,,,3.a.6.2.5
3.a.6.2.5.2,Broncoscopía por fibroóptica (flexible) con guía fluoroscópica con biopsia,,,,,3.a.6.2.5
3.a.6.2.6,Biopsia abierta de pulmón,33.28,,,,3.a.6.2
3.a.6.3,"Procedimientos diagnósticos sobre pared torácica, pleura, mediastino y diafragma",34.2,,,,3.a.6
3.a.6.3.1,Toracoscopía transpleural,34.21,,,,3.a.6.3
3.a.6.3.2,Mediastinoscopía,34.22,,,,3.a.6.3
3.a.6.3.2.1,Pleuroscopía,,,,,3.a.6.3.2
3.a.6.3.3,Biopsia de pared torácica,34.23,,,,3.a.6.3
3.a.6.3.4,Biopsia pleural,34.24,,,,3.a.6.3
